# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 181K of event 'task-clock'
# Event count (approx.): 45331250000
#
# Overhead  Command  Shared Object      Symbol                                  
# ........  .......  .................  ........................................
#
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d40c
     0.00%  example  [kernel.kallsyms]  [k] __check_object_size
     0.00%  example  [kernel.kallsyms]  [k] __handle_mm_fault
     0.00%  example  [kernel.kallsyms]  [k] __send_ipi_mask
     0.00%  example  [kernel.kallsyms]  [k] arch_irq_work_raise
     0.00%  example  [kernel.kallsyms]  [k] file_free_rcu
     0.00%  example  [kernel.kallsyms]  [k] free_unref_page
     0.00%  example  [kernel.kallsyms]  [k] get_user_pages_fast
     0.00%  example  [kernel.kallsyms]  [k] hv_send_ipi_self
     0.00%  example  [kernel.kallsyms]  [k] inet_gro_receive
     0.00%  example  [kernel.kallsyms]  [k] irq_work_queue
     0.00%  example  [kernel.kallsyms]  [k] native_apic_wait_icr_idle
     0.00%  example  [kernel.kallsyms]  [k] vma_merge
     0.00%  example  [kernel.kallsyms]  [k] vmap_page_range_noflush
     0.00%  example  [kernel.kallsyms]  [k] 0x000049000000c000
     0.00%  example  example            [.] 0x0000000000001234
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001c9a0
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001c9a4
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001c9b7
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001c9be
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001c9ce
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001c9f5
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001ca34
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001ca6b
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001ca96
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001cabe
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001cb00
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001cb1e
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d126
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d280
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d28a
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d2a5
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d2be
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d2f2
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d2f5
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d2f8
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d2fe
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d311
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d373
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d37a
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d40f


# Samples: 9  of event 'page-faults'
# Event count (approx.): 445
#
# Overhead  Command  Shared Object      Symbol                
# ........  .......  .................  ......................
#
    82.70%  example  libc-2.31.so       [.] 0x00000000000799e0
    12.58%  example  ld-2.31.so         [.] 0x00000000000077c0
     2.92%  example  ld-2.31.so         [.] 0x000000000001c6f0
     0.67%  example  ld-2.31.so         [.] 0x0000000000001100
     0.45%  example  [kernel.kallsyms]  [k] __clear_user
     0.22%  example  [kernel.kallsyms]  [k] load_elf_binary
     0.22%  example  libc-2.31.so       [.] 0x000000000005e760
     0.22%  example  libc-2.31.so       [.] 0x000000000009858b


# Samples: 111K of event 'context-switches'
# Event count (approx.): 2868603
#
# Overhead  Command  Shared Object      Symbol      
# ........  .......  .................  ............
#
   100.00%  example  [kernel.kallsyms]  [k] schedule


# Samples: 0  of event 'sched:sched_stat_blocked'
# Event count (approx.): 0
#
# Overhead  Command  Shared Object  Symbol
# ........  .......  .............  ......
#


# Samples: 0  of event 'sched:sched_stat_iowait'
# Event count (approx.): 0
#
# Overhead  Command  Shared Object  Symbol
# ........  .......  .............  ......
#


# Samples: 1M of event 'sched:sched_stat_runtime'
# Event count (approx.): 69270590700
#
# Overhead  Command  Shared Object      Symbol         
# ........  .......  .................  ...............
#
   100.00%  example  [kernel.kallsyms]  [k] update_curr


# Samples: 0  of event 'sched:sched_stat_sleep'
# Event count (approx.): 0
#
# Overhead  Command  Shared Object  Symbol
# ........  .......  .............  ......
#


# Samples: 0  of event 'sched:sched_stat_wait'
# Event count (approx.): 0
#
# Overhead  Command  Shared Object  Symbol
# ........  .......  .............  ......
#


# Samples: 0  of event 'sched:sched_wait_task'
# Event count (approx.): 0
#
# Overhead  Command  Shared Object  Symbol
# ........  .......  .............  ......
#


# Samples: 19K of event 'sched:sched_wake_idle_without_ipi'
# Event count (approx.): 19453
#
# Overhead  Command  Shared Object      Symbol          
# ........  .......  .................  ................
#
   100.00%  example  [kernel.kallsyms]  [k] resched_curr


# Samples: 2M of event 'syscalls:sys_enter_futex'
# Event count (approx.): 2022415
#
# Overhead  Command  Shared Object     Symbol                
# ........  .......  ................  ......................
#
    44.40%  example  libgomp.so.1.0.0  [.] 0x000000000001d31c
    42.74%  example  libgomp.so.1.0.0  [.] 0x000000000001cb1a
     7.50%  example  libgomp.so.1.0.0  [.] 0x000000000001cac3
     4.94%  example  libgomp.so.1.0.0  [.] 0x000000000001d3b6
     0.41%  example  libgomp.so.1.0.0  [.] 0x000000000001ca34
     0.00%  example  libgomp.so.1.0.0  [.] 0x000000000001d14e
     0.00%  example  libgomp.so.1.0.0  [.] 0x000000000001cf2d
     0.00%  example  libgomp.so.1.0.0  [.] 0x000000000001d0aa
     0.00%  example  libgomp.so.1.0.0  [.] 0x000000000001d1a7
     0.00%  example  libgomp.so.1.0.0  [.] 0x000000000001d75e
     0.00%  example  libgomp.so.1.0.0  [.] 0x000000000001d7ba


#
# (Cannot load tips.txt file, please install perf!)
#
#  PID   TID  syscalls:sys_enter_futex  sched:sched_wake_idle_without_ipi  sched:sched_wait_task  sched:sched_stat_wait  sched:sched_stat_sleep  sched:sched_stat_runtime  sched:sched_stat_iowait  sched:sched_stat_blocked  context-switches  page-faults  task-clock
  1334  1336                  40943146                           84472699               84670478               23024156                67009311                4258477430                 45086900                  25632900          53049120          582  1457116794
  1334  1338                  71400560                          115331669               67483301               76288469                65860534                4001703248                 66580051                  43724700          73226297     42826749  2168036707
  1334  1335                  47744972                           58055871               65250310              196767466                35955056                6306372049                 57548561                  64165300          95572143     46645488  2857658649
  1334  1337                 126286112                           94640396                   4795               45520953                60888291                4144443234                 28691016                  75750700          66368167     32236785  2078328765
  1334  1340                  92497340                           66769781               45685639              173856736                58400644                6228026061                 58838700                 133854300         133302514     32599344  2701501609
  1334  1334                  89726776                          157322227               92197762               42784585                67102240                4389004400                 55355600                  58404500          99208346     69502012  2641285105
  1334  1343                    101551                                877                     18               28635718                37270133                3944790000                 31428600                         0             40993          524  2165605278
  1334  1342                     68526                                657                     11                     18                      40                2639642300                        0                         0             34848          975  1881303092
  1334  1341                     67208                                613                     46                      7                      27                2170981500                        0                         0             36624          892  1355354149
